date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
2017-06-19,143.66,146.74,143.66,146.34,32541400,34.3818,2.86,120850417.4
2017-06-20,146.87,146.87,144.94,145.01,24900070,34.0693,-0.91,121237143.6
2017-06-21,145.52,146.0693,144.61,145.87,21265750,34.2713,0.59,121506519.8
2017-06-22,145.77,146.7,145.1199,145.63,19106289,34.215,-0.16,121483947.6
2017-06-23,145.13,147.16,145.11,146.28,35439391,34.3677,0.45,124724705.8
2017-06-26,147.17,148.28,145.38,145.82,25692359,34.2596,-0.31,125477649.4
2017-06-27,145.01,146.16,143.62,143.73,24761891,33.7686,-1.43,126404657.6
2017-06-28,144.49,146.11,143.1601,145.83,22082430,34.262,1.46,125930911.6
2017-06-29,144.71,145.13,142.28,143.68,31499369,33.7568,-1.47,128949967.4
2017-06-30,144.45,144.96,143.78,144.02,23024109,33.8367,0.24,128000645.0
2017-07-03,144.88,145.3001,143.1,143.5,14277850,33.7145,-0.36,125789883.0
2017-07-05,143.69,144.79,142.7237,144.09,21569561,33.8531,0.41,124778809.2
2017-07-06,143.02,143.5,142.41,142.73,24128779,33.5336,-0.94,125390635.0
2017-07-07,142.9,144.75,142.9,144.18,19201711,33.8743,1.02,124980817.0
2017-07-10,144.11,145.95,143.37,145.06,21090641,34.081,0.61,116222413.2
2017-07-11,144.73,145.85,144.38,145.53,19781840,34.1915,0.32,105717315.6
2017-07-12,145.87,146.18,144.82,145.74,24884480,34.2408,0.14,103861121.8
2017-07-13,145.5,148.49,145.44,147.77,25199369,34.7177,1.39,102594749.6
2017-07-14,147.97,149.33,147.33,149.04,20132061,35.0161,0.86,100188088.0
2017-07-17,148.82,150.9,148.57,149.56,23793461,35.1383,0.35,94874562.2
2017-07-18,149.2,150.13,148.67,150.08,17868789,35.2605,0.35,91940040.0
2017-07-19,150.48,151.42,149.95,151.02,20922971,35.4813,0.63,91144620.2
2017-07-20,151.5,151.74,150.19,150.34,17243750,35.3216,-0.45,90340220.2
2017-07-21,149.99,150.44,148.88,150.27,26252631,35.3051,-0.05,91769488.6
2017-07-24,150.58,152.44,149.9,152.09,21493160,35.7327,1.21,88980242.4
2017-07-25,151.8,153.84,151.8,152.74,18853930,35.8854,0.43,87612556.6
2017-07-26,153.35,153.93,153.06,153.46,15780950,36.0546,0.47,85816368.4
2017-07-27,153.75,153.99,147.3,150.56,32476340,35.3732,-1.89,87895150.4
2017-07-28,149.89,150.23,149.19,149.5,17213650,35.1242,-0.7,85038006.6
2017-07-31,149.9,150.33,148.13,148.73,19845920,34.9433,-0.52,84402368.8
2017-08-01,149.1,150.22,148.41,150.05,35368648,35.2534,0.89,88620528.4
2017-08-02,159.28,159.75,156.16,157.14,69936797,36.9192,4.73,98293975.6
2017-08-03,157.05,157.21,155.02,155.57,27097301,36.5503,-1.0,98887680.0
2017-08-04,156.07,157.4,155.69,156.39,20559850,36.743,0.53,99159307.8
2017-08-07,157.06,158.92,156.6701,158.81,21870320,37.3115,1.55,99315243.6
2017-08-08,158.6,161.83,158.27,160.08,36205898,37.6099,0.8,102600055.2
2017-08-09,159.26,161.27,159.11,161.06,26131529,37.8402,0.61,102849465.0
2017-08-10,159.9,160.0,154.63,155.32,40804273,36.6349,-3.19,105970445.8
2017-08-11,156.6,158.5728,156.07,157.48,26257100,37.1443,1.39,107195453.6
2017-08-14,159.32,160.21,158.75,159.85,22122730,37.7034,1.51,106861307.4
2017-08-15,160.66,162.195,160.14,161.6,29465490,38.1161,1.09,109180647.6
2017-08-16,161.94,162.51,160.15,160.95,27671609,37.9628,-0.4,110530375.2
2017-08-17,160.52,160.71,157.84,157.86,27940570,37.234,-1.92,112669739.2
2017-08-18,157.86,159.5,156.72,157.5,27428070,37.1491,-0.23,112904827.0
